feature,gain,split,target
fourier_cos_y_4,5765.965471804142,966,COGS
fourier_cos_y_3,5698.943129509687,968,COGS
COGS_roll_mean_91_lag364,5407.829315692186,856,COGS
COGS_roll_mean_28_lag364,5068.7926833331585,823,COGS
sessions_clim,4956.808131337166,654,COGS
COGS_roll_std_91_lag364,4564.592009156942,735,COGS
fourier_sin_y_2,4495.131124466658,779,COGS
stockout_rate_lag548,4149.222099840641,682,COGS
mean_fill_rate_lag548,3940.380516707897,545,COGS
promo_share_lag365,3908.1812756061554,531,COGS
fourier_cos_y_2,3704.8583030104637,602,COGS
promo_share_lag548,3702.105118751526,591,COGS
unique_visitors_clim,3691.5091413259506,534,COGS
stockout_rate_lag365,3689.552652746439,610,COGS
total_discount_lag548,3510.0363289117813,548,COGS
mean_fill_rate_lag365,3071.758588165045,505,COGS
fourier_cos_y_1,3047.8133201897144,473,COGS
total_discount_clim,3043.746020436287,463,COGS
total_discount_lag365,3033.2670377492905,474,COGS
fourier_sin_y_1,3018.4659388810396,522,COGS
overstock_rate_lag365,2935.8388208150864,435,COGS
promo_share_clim,2914.08249476552,433,COGS
overstock_rate_lag548,2637.3007020379882,407,COGS
days_of_supply_lag548,2576.0875486135483,404,COGS
days_of_supply_lag365,2314.2974190935493,377,COGS
dow,2193.413196235895,349,COGS
day_of_year,1455.8829753249884,269,COGS
week_of_year,988.3075018972158,177,COGS
year,749.9541487693787,114,COGS
stockout_rate_clim,642.4182807207108,95,COGS
mean_fill_rate_clim,351.9355288743973,59,COGS
month,196.17468172311783,43,COGS
days_of_supply_clim,189.71588897705078,28,COGS
overstock_rate_clim,187.5512399673462,32,COGS
is_month_start,90.0683798789978,9,COGS
is_month_end,26.739400386810303,4,COGS
is_weekend,16.125629901885986,2,COGS
quarter,5.116380214691162,1,COGS
is_quarter_start,0.0,0,COGS
is_quarter_end,0.0,0,COGS
is_post_regime,0.0,0,COGS
is_holiday,0.0,0,COGS
