fold,model,MAE,RMSE,R2,Uplift_MAE_%,target
1,seasonal_naive,905442.7122311943,1312150.2489212535,0.28753935350859483,0.0,Revenue
1,sarimax,788548.1249259049,1220941.2385431537,0.3831447408601083,12.910213503981648,Revenue
1,lightgbm,556659.039375184,788544.9797677124,0.742695910580653,38.52078857606978,Revenue
2,seasonal_naive,874578.6345024136,1262662.398947781,0.34104174341850124,0.0,Revenue
2,sarimax,832565.9304830439,1224233.7812077713,0.38054162804678215,4.803765191825496,Revenue
2,lightgbm,606171.4668478176,824481.901041532,0.7190392448618538,30.689883912760415,Revenue
1,ensemble_tuned,545440.4275397027,790904.8415813607,0.7411535491653218,39.7598080837575,Revenue
2,ensemble_tuned,601570.8716616245,819172.9094108328,0.7226459120124464,31.21591953776863,Revenue
1,seasonal_naive,837574.9209656833,1185836.5347327571,0.22294213565302956,0.0,COGS
1,sarimax,695435.588522419,1057283.808027717,0.3822868176947334,16.970342459559863,COGS
1,lightgbm,445541.74546238396,645382.2236383881,0.7698358363713207,46.80574426121834,COGS
2,seasonal_naive,792425.274519199,1156572.127821838,0.28846813365999846,0.0,COGS
2,sarimax,756134.7580484699,1129825.9218368817,0.3209965512626225,4.579676802049035,COGS
2,lightgbm,497712.8395082337,686050.6265372428,0.7496421337751558,37.1911957489974,COGS
1,ensemble_tuned,441319.0614601998,644473.6358495,0.7704834437432029,47.30990023538667,COGS
2,ensemble_tuned,495500.2703023086,685755.5396537458,0.7498574573429484,37.470410619733016,COGS
