source,target,model,n_folds,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
recursive_pipeline_cv,COGS,cv_weighted_ensemble,2,547400.365427725,26.41434693001619,758883.9331590497,6572.618115089186,0.6876269582191958,0.013826142431632143
recursive_pipeline_cv,COGS,model,2,574961.6082561249,5564.728554257491,791781.9564095561,2724.700068521435,0.6600154090574389,0.011501709343455256
recursive_pipeline_cv,COGS,doy,2,594279.6345384977,12128.752800213562,818336.6895361759,26290.427045549273,0.63636224413712,0.0331245529102807
recursive_pipeline_cv,COGS,seasonal,2,728542.658439781,34609.01341343701,1083031.3990320219,52690.28042473114,0.36236913157606243,0.07905023873457356
recursive_pipeline_cv,Revenue,cv_weighted_ensemble,2,631775.8392452624,1499.9341205646572,879062.006346883,10736.94127128141,0.6803943315658045,0.008072285926080969
recursive_pipeline_cv,Revenue,model,2,663052.0220622651,15534.22934664204,912972.7055263987,35589.67626838101,0.6550166376545383,0.027161767928129528
recursive_pipeline_cv,Revenue,doy,2,682579.0388860765,23601.469547267323,933400.8381554249,32372.334944479207,0.6394639881297917,0.02529213408391332
recursive_pipeline_cv,Revenue,seasonal,2,828617.6984032848,2414.9654927815586,1218865.5527831165,38586.46424826343,0.38530962491693865,0.03839010996809668
